ID,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
461,jkaem,Norway,"['Renegades', 'FaZe', '100 Thieves', '100 Thieves']",1166,30745,837,1.04,1.03
462,Relaxa,Sweden,"['Apeks', 'Apeks', 'Chaos', 'Red Reserve', 'Japaleno', 'Galaxy Racer']",1169,31162,2001,1.11,1.03
463,rAge,Ukraine,"['Hard Legion', 'Windigo Academy']",380,10128,685,1.11,1.03
464,shushan,Israel,"['Aequus', 'Finest', 'Finest', 'exDT']",110,2916,115,1.06,1.03
465,afro,France,"['DBL PONEY', 'LDLC', 'LDLC']",356,9422,408,1.07,1.03
466,juho,Finland,"['ENCE', 'iGame.com']",750,19740,298,1.02,1.03
467,waffe,Australia,"['Funky Monkeys', 'Ground Zero', 'TRIDENT', 'Legacy']",213,5440,197,1.05,1.03
468,Patsi,Russia,"['Spirit Academy', 'Spirit Academy', 'Espada']",407,10936,314,1.04,1.03
469,kressy,Germany,"['Sprout', 'ALTERNATE aTTaX', 'EURONICS']",1045,27972,1243,1.07,1.03
470,Plopski,Sweden,"['NIP', 'NIP', 'x6tence Galaxy', 'Singularity']",864,22976,971,1.06,1.03
471,captainMo,China,"['TYLOO', 'OneThree']",802,20665,677,1.05,1.03
472,NK4Y,Bulgaria,"['Outlaws', 'Bpro', 'ex-Epsilon']",480,12325,429,1.05,1.03
473,Excali,India,['Entity'],138,3439,140,1.06,1.03
474,sLowi,Finland,['HAVU'],1032,27708,978,1.05,1.03
475,Blytz,Romania,['Nexus'],163,4245,77,1.03,1.03
476,WolfY,United States,"['Lyngby Vikings', 'Secret Club', 'Swedish Canadians']",321,8491,425,1.08,1.03
477,Subroza,Canada,"['Ghost', 'FRENCH CANADIANS', 'CLG', 'Lazarus', 'Orgless']",623,16275,375,1.03,1.03
478,dipparn,Sweden,"['Manatee', 'Gatekeepers', 'Singularity', 'DenDD']",191,5044,192,1.06,1.03
479,Szejn,Poland,"['mouz NXT', 'Izako Boars']",387,10427,214,1.03,1.03
480,zedzke,Australia,"['AVANT', 'Athletico']",136,3443,125,1.05,1.03
481,LEEROY,Chile,"['Rejected', 'Hafnet', 'All Knights']",253,6585,147,1.03,1.03
482,DaY,Norway,"['Temp.no', 'Epiphany Bolt', 'BX3']",113,2909,105,1.05,1.03
483,Maluk3,Brazil,['TeamOne'],878,22846,1127,1.08,1.03
484,USTILO,Australia,"['ORDER', 'Renegades']",1016,26203,748,1.04,1.03
485,HECTOz,Denmark,"['Tricked', 'AGF', 'x6tence']",354,9307,291,1.05,1.03
486,Xyp9x,Denmark,"['Astralis', 'TSM']",1805,46938,2672,1.09,1.03
487,LoWkii,France,"['Limitless', 'Platinium', 'Epsilon', 'Red Instinct']",114,2991,77,1.04,1.03
488,phzy,Sweden,"['Young Ninjas', 'Young Ninjas']",299,8011,450,1.09,1.03
489,flamie,Russia,['Natus Vincere'],1500,39559,1497,1.06,1.03
490,yam,Australia,"['Renegades', 'Tainted Minds']",547,14003,650,1.07,1.03
491,AiyvaN,Ukraine,"['pro100', ""spray'n'pray""]",692,18003,613,1.05,1.03
492,c0llins,Serbia,"['4glory', 'PSYCHOACTIVE', 'Ripple']",187,4917,135,1.04,1.03
493,snedker,Denmark,['Tricked'],271,7016,359,1.08,1.03
494,sperr,Estonia,"['WASD', 'OnlineBOTS']",199,5114,141,1.04,1.03
495,KalubeR,Bulgaria,"['SKADE', 'FATE']",221,5772,207,1.05,1.03
496,alex,Spain,['Movistar Riders'],1141,30223,1276,1.06,1.03
497,Krad,Russia,"['Entropiq', 'DreamEaters', 'Hard Legion', 'Winstrike']",913,24324,684,1.04,1.03
498,rain,Norway,['FaZe'],1467,38773,847,1.03,1.03
499,znajder,Sweden,"['GODSENT', 'fnatic', 'EURONICS']",1050,27577,1070,1.06,1.03
500,RIKO,United States,"['Monstars', 'Denial']",399,10376,181,1.02,1.03
