ID,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
171,PALM1,Sweden,"['TEAM5', 'Tikitakan', 'Wizards']",155,4216,226,1.07,1.09
172,husK,Australia,"['Control', 'Riotous', 'Fighting 4 Freedom']",117,2954,150,1.07,1.09
173,fer,Brazil,"['SK', 'MIBR', 'MIBR', 'Luminosity']",1336,34798,2636,1.11,1.09
174,Summer,China,"['TYLOO', 'Flash']",1182,30399,2767,1.14,1.08
175,HaZR,Australia,"['AVANT', 'Breakaway', 'Dire Wolves']",625,16006,1064,1.1,1.08
176,Troubley,Germany,"['mousesports', 'PENTA', 'PENTA', 'Planetkey']",266,6808,484,1.1,1.08
177,trk,Brazil,"['TeamOne', 'MIBR', 'MIBR']",702,18349,1507,1.13,1.08
178,Sayf,Sweden,"['Singularity', 'Gatekeepers']",346,9334,684,1.11,1.08
179,nukkye,Lithuania,"['Imperial', 'HellRaisers', 'NoChance']",592,15492,1330,1.13,1.08
180,2D,Australia,"['Ground Zero', 'R!OT', 'Downfall']",136,3524,343,1.15,1.08
181,Spinx,Israel,"['ENCE', 'c0ntact', 'Tikitakan']",274,7270,597,1.13,1.08
182,nython,Brazil,"['Paquetá', 'RED Canids']",341,9076,786,1.13,1.08
183,Xeppaa,United States,"['Chaos', 'Rap Gang', 'Cloud9']",367,9519,703,1.11,1.08
184,pz,Australia,"['VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne']",287,7473,636,1.13,1.08
185,sergej,Finland,"['ENCE', 'HAVU']",731,19266,1773,1.14,1.08
186,exit,Brazil,['Sharks'],566,14567,1446,1.16,1.08
187,REOVA,Turkey,"['RONIN', 'FRENCH CANADIANS']",145,3775,331,1.14,1.08
188,potter,United States,"['CLG Red', 'RES', 'Ubinited']",119,2979,225,1.11,1.08
189,FL1T,Russia,['forZe'],1121,30232,2645,1.13,1.08
190,PwnAlone,United States,"['Party Astronauts', 'New England Whalers', 'High Coast', 'Vireo.pro']",675,17678,1489,1.13,1.08
191,Savage,China,"['VG.CyberZen', 'ViCi', 'CyberZen', '5POWER']",836,21434,1926,1.14,1.08
192,felps,Brazil,"['SK', 'Immortals', 'Tempo Storm']",899,22930,1509,1.09,1.08
193,DJOXiC,Serbia,"['Binary Dragons', 'iNation', 'Valiance']",489,12531,1204,1.15,1.08
194,faveN,Germany,"['Sprout', 'EURONICS']",1168,31129,2578,1.13,1.08
195,shox,France,"['Vitality', 'G2', 'Envy']",1873,49128,3882,1.12,1.08
196,keev,Germany,"['ALTERNATE aTTaX', 'BIG', 'BIG', 'KILLERFISH']",594,15524,1217,1.12,1.08
197,Detrony,South Africa,['Bravado'],400,10133,827,1.13,1.08
198,Inseaniac,Canada,"['GGPR', 'GGPR', 'Thunder Logic']",169,4508,323,1.11,1.08
199,Impulse,Serbia,"['ONYX', 'ONYX', 'Valiance', 'lvlUP', 'RESISTANCE']",663,17556,1450,1.13,1.08
200,b4rtiN,Brazil,"['GODSENT', 'TeamOne']",380,9951,835,1.13,1.08
201,draken,Sweden,"['Epsilon', 'NIP', 'NIP', 'Red Reserve']",1028,27086,2454,1.14,1.08
202,ShahZaM,United States,"['Complexity', 'Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",966,25252,2058,1.13,1.08
203,ptr,United States,"['Bad News Bears', 'NRG', 'Complexity', 'Complexity']",1113,29154,2761,1.15,1.08
204,KmZ,United States,"['OCG', 'OCG', 'Levitate', 'Variance', 'Faint']",194,4991,256,1.07,1.08
205,MICHU,Poland,"['Virtus.pro', 'Kinguin', 'CSGL']",1627,42782,2873,1.1,1.08
206,jayzaR,Sweden,"['Valiance', 'Enyoy']",502,13242,889,1.1,1.08
207,Papichulo,Philippines,"['Bren', 'TNC']",330,8596,641,1.11,1.08
208,dycha,Poland,"['ENCE', 'Sprout', 'Aristocracy']",635,17055,1118,1.1,1.08
209,CRUC1AL,Netherlands,"['Endpoint', 'Endpoint', 'Epsilon']",1306,34181,2665,1.12,1.08
210,autimatic,United States,"['Cloud9', 'Gen.G', 'Gen.G']",1122,29309,2278,1.12,1.08
211,NaToSaphiX,Denmark,"['Sprout', 'Nordavind']",926,24733,2436,1.16,1.08
212,hardzao,Brazil,"['paiN', 'DETONA']",468,12274,1087,1.14,1.08
213,meyern,Argentina,"['Furious', 'Furious', 'MIBR', 'MIBR', 'Isurus', 'Sharks']",400,10387,680,1.1,1.07
214,hallzerk,Norway,"['Dignitas', 'Nordavind']",592,16008,1161,1.11,1.07
215,KllyVe,Belgium,"['Galaxy Racer fe', 'expert fe', 'Assassins', 'CM Storm']",149,3828,266,1.1,1.07
216,latto,Brazil,"['GODSENT', 'RED Canids']",204,5440,448,1.13,1.07
217,flameZ,Israel,"['OG', 'Endpoint', 'Endpoint']",305,8148,508,1.09,1.07
218,mimi,Denmark,"['XSET', 'Secret fe', 'WRTP', 'Games4u fe']",170,4029,261,1.1,1.07
219,Liazz,Australia,"['EXTREMUM', 'Renegades', 'ORDER', '100 Thieves', '100 Thieves', 'Kings', 'Athletico']",918,23699,2000,1.14,1.07
220,jks,Australia,"['Complexity', 'Complexity', 'Renegades', '100 Thieves', '100 Thieves']",1144,29891,2339,1.12,1.07
221,dapr,United States,['eUnited'],594,15426,1002,1.1,1.07
222,flomaster,Kazakhstan,"['zARLANS', 'LOG', 'Tengri', 'AVANGAR']",127,3307,217,1.1,1.07
223,YEKINDAR,Latvia,"['Virtus.pro', 'pro100', 'EPG']",988,26237,1299,1.07,1.07
224,InfrequeNt,Australia,"['Athletico', 'Tainted Minds', 'Chiefs']",467,12046,944,1.12,1.07
225,hAdji,France,"['LDLC', 'LDLC', 'EnVyUs Academy', '3DMAX']",1006,26535,1902,1.11,1.07
226,NikoM,Argentina,"['DETONA', 'TeamOne', 'Isurus']",451,11509,844,1.11,1.07
227,FalleN,Brazil,"['SK', 'MIBR', 'MIBR', 'Luminosity']",1430,37421,3565,1.16,1.07
228,ayken,Germany,"['Demolition Crew', 'Sprout']",184,4919,296,1.09,1.07
229,pancc,Brazil,"['Sharks', 'W7M']",505,13196,814,1.09,1.07
230,rain,Canada,"['Dignitas fe', 'Karma', 'Those Damn Canadians']",191,4817,347,1.11,1.07
231,cqntrl,Brazil,"['Keyd', 'PITS', 'Black Dragons']",104,2800,182,1.1,1.07
232,Brollan,Sweden,"['fnatic', 'GODSENT']",874,23244,1417,1.09,1.07
233,joel,Sweden,"['Galaxy Racer', 'flowskola']",141,3784,265,1.11,1.07
234,smike,Ukraine,"[""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck']",480,12461,655,1.08,1.07
235,nicoodoz,Denmark,"['Copenhagen Flames', 'Singularity']",477,12916,1150,1.14,1.07
236,paz,Turkey,"['Sangal', 'Space Soldiers']",1053,27610,1997,1.11,1.07
237,Lucky,Denmark,['Tricked'],342,9290,766,1.13,1.07
238,SideStep,United States,"['Party Astronauts', 'Vikings', 'Excelerate']",113,2940,213,1.11,1.07
239,shz,Brazil,"['MIBR', 'MIBR', 'Luminosity', 'Imperial', 'INTZ', 'BOOM']",775,20098,1493,1.12,1.07
240,fejtZ,Estonia,"['SMASH', 'ArchAngels']",733,19457,1322,1.1,1.07
241,slaxz-,Germany,"['Sprout', 'ALTERNATE aTTaX']",680,18334,1488,1.13,1.07
242,EspiranTo,Lithuania,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",857,22439,1334,1.09,1.07
243,di^,United States,['CLG Red'],180,4495,352,1.12,1.07
244,anarkez,Israel,"['Secret', 'Lyngby Vikings']",471,12627,898,1.11,1.07
245,NikkeZ,Australia,"['Ground Zero', 'Athletico', 'Legacy']",376,9711,581,1.09,1.07
246,n1ssim,Brazil,"['Case', 'Case']",119,3161,233,1.11,1.07
247,xand,Brazil,"['INTZ', 'Yeah']",515,13210,875,1.1,1.07
248,Rickeh,Australia,"['ORDER', 'CLG', 'Rogue', 'Renegades']",860,22524,1989,1.14,1.07
249,somebody,China,['TYLOO'],1216,31454,2120,1.1,1.07
250,QKA,China,"['5POWER', 'UYA', 'BOOT']",399,10332,707,1.1,1.07
251,downie,Sweden,"['Torpedo', 'ArchAngels']",317,8286,656,1.13,1.07
252,blackpoisoN,South Africa,"['ATK', 'Bravado', 'Energy', 'Denial']",295,7528,461,1.09,1.07
253,Krimbo,Germany,"['ALTERNATE aTTaX', 'BIG Academy', 'BIG Academy']",190,5022,357,1.11,1.07
254,CLASIA,United States,"['RBG', 'Secret Club', 'Kinship']",182,4765,318,1.1,1.07
255,WorldEdit,Russia,"['FlipSid3', 'pro100', 'Winstrike']",1328,34716,2476,1.11,1.07
256,Hobbit,Kazakhstan,"['Gambit', 'Winstrike']",1040,27440,1981,1.11,1.07
257,boltz,Brazil,"['Immortals', 'Luminosity', 'SK']",1184,30851,2413,1.12,1.07
258,shroud,Canada,['Cloud9'],676,17460,1311,1.12,1.07
259,agM,United States,"['Excelerate', 'WinOut.net', 'Stay Frosty', 'Polar Ace']",134,3428,201,1.09,1.07
260,Pimp,Denmark,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",976,25052,2016,1.13,1.07
261,iDISBALANCE,Russia,"['Nemiga', 'Spirit', 'Spirit']",688,18316,1550,1.14,1.07
262,Ryxxo,Denmark,"['Tricked', 'Singularity', 'unknown', 'Ambush']",731,19178,1488,1.12,1.07
263,Konvict,South Africa,"['Aperture', 'Big 5']",105,2619,189,1.11,1.07
264,DD,China,"['TYLOO', 'OneThree']",910,23543,1527,1.1,1.07
265,Jinx,Korea,"['GOSU', 'YETTI', 'Lucid Dream']",196,5038,299,1.09,1.07
266,bLitz,Mongolia,"['Checkmate', 'Checkmate']",106,2858,116,1.06,1.06
267,zhokiNg,China,"['ViCi', 'VG.CyberZen']",1177,30044,1502,1.07,1.06
268,vilga,Russia,"['Secret fe', 'Russian Forces']",227,5573,350,1.09,1.06
269,fame,Russia,"['K23', 'K23', 'SG.pro']",314,8454,514,1.09,1.06
270,JOTA,Brazil,"['Bravos', 'Keyd', 'Santos']",252,6581,454,1.11,1.06
271,Grim,United States,"['Liquid', 'Triumph', 'Dignitas', 'Spacestation', 'The Quest']",756,19877,890,1.07,1.06
272,iGm,Romania,"['Nexus', 'Invictus Aquilas']",150,3923,160,1.06,1.06
273,JeXeN,China,"['ViCi', 'LGD']",125,3111,200,1.1,1.06
274,Keiti,United States,['Mythic'],203,5452,227,1.06,1.06
275,leaf,United States,"['Chaos', 'Rugratz', 'Zone']",254,6523,352,1.08,1.06
276,V4D1M,Russia,"['Invictus', 'Invictus', 'ROAR', '8EASY', 'Invictus Int']",315,8236,604,1.11,1.06
277,flexeeee,South Africa,"['Energy', 'carboN', 'Sinister5']",173,4333,256,1.09,1.06
278,DaZeD,United States,"['iBUYPOWER', 'Quantic', 'subtLe']",170,4518,309,1.1,1.06
279,Valiance,Australia,"['ORDER', 'Paradox']",518,13346,883,1.1,1.06
280,acoR,Denmark,"['mousesports', 'Tricked', 'North Academy', 'MAD Lions']",1017,26597,1956,1.12,1.06
281,ofnu,New Zealand,"['Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox']",852,21778,1380,1.1,1.06
282,SHiPZ,Bulgaria,"['SKADE', 'Windigo']",1391,36918,1885,1.07,1.06
283,AnJ,Denmark,"['NRG', 'Singularity', 'Tricked']",403,10503,763,1.11,1.06
284,j9,Thailand,"['Signature', 'Beyond']",114,2879,106,1.05,1.06
285,Ethan,United States,"['NRG', 'CLG', 'Evil Geniuses', 'Evil Geniuses']",986,25998,1488,1.09,1.06
286,tucks,Australia,['Chiefs'],689,17415,1281,1.11,1.06
287,juliano,Sweden,"['Secret fe', 'Besiktas']",252,6104,352,1.09,1.06
288,Roflko,Australia,"['VERTEX', 'Bantz', 'Bantz', 'Justice']",214,5531,265,1.07,1.06
289,sausol,Spain,"['MAD Lions', 'Cream', 'Rocketlauncher$']",145,3942,238,1.09,1.06
290,frei,United Kingdom,"['Epsilon', 'Fierce', 'Wind and Rain']",256,6660,412,1.09,1.06
291,TeSeS,Denmark,"['Heroic', 'Heroic', 'Copenhagen Flames', 'GoldenGitte']",696,18582,1056,1.08,1.06
292,olofmeister,Sweden,"['FaZe', 'fnatic']",1506,39348,2774,1.11,1.06
293,Happy,France,"['Envy', 'LDLC', 'LDLC']",1464,37933,2745,1.11,1.06
294,Ant1ka,Russia,"['Secret fe', 'YP Ladies', 'Russian Forces', 'RES', 'Lazarus fe']",126,3135,243,1.12,1.06
295,4pack,United States,"['Rebirth', 'blood, sweat, and tears', 'Rap Gang', 'Variance']",228,5904,239,1.06,1.06
296,Derkeps,Finland,['KOVA'],113,2948,86,1.04,1.06
297,XotiC,United States,"['ChocoCheck', 'Rebirth', 'Splyce']",267,7032,467,1.1,1.06
298,L!nKz^,Chile,"['Isurus', 'Malvinas', 'Andes', 'Force of Nature']",213,5606,408,1.11,1.06
299,AE,China,"['EMP', 'Eclipse']",302,7813,294,1.05,1.06
300,snatchie,Poland,"['AGO', 'Virtus.pro', 'Sprout']",1359,36521,1979,1.08,1.06
301,koosta,United States,"['CLG', 'Ghost', 'Gen.G', 'Gen.G', 'Enemy']",951,25077,1350,1.08,1.06
302,COLDYY1,Ukraine,"['Spirit', 'Spirit']",947,24917,1718,1.11,1.06
303,Maka,France,"['LDLC', 'LDLC', 'Heretics', 'Heretics', '3DMAX']",1053,27999,1866,1.1,1.06
304,JohnOlsen,Thailand,"['Lucid Dream', 'Beyond']",206,5353,261,1.07,1.06
305,sdy,Ukraine,"['Spirit', 'Spirit']",952,25057,1864,1.12,1.06
306,nexa,Serbia,"['G2', 'Valiance', 'Imperial']",1154,30476,2108,1.11,1.06
307,scoobyxie,Ukraine,"['HellRaisers', 'Vega Squadron', 'k1ck']",237,6341,421,1.1,1.06
308,Skadoodle,United States,['Cloud9'],1047,27129,2458,1.15,1.06
309,flying,China,"['Invictus', 'Invictus']",377,10075,516,1.07,1.06
310,chawzyyy,Sweden,"['Galaxy Racer', 'flowskola']",185,4988,279,1.09,1.06
311,jL,Lithuania,"['MAD Lions', 'selectah']",130,3505,185,1.08,1.06
312,suNny,Finland,"['ENCE', 'mousesports', 'PENTA', 'PENTA']",1265,33373,1562,1.07,1.06
313,B1T,Ukraine,"['Natus Vincere', 'NAVI Junior']",317,8406,524,1.1,1.06
314,TOR,Thailand,"['Signature', 'Beyond']",452,11472,657,1.09,1.06
315,opportunity,United States,"['Fam143', 'iNTACT', 'Blackwoodproductions', 'slashLEVEL']",129,3464,133,1.05,1.06
316,chelo,Brazil,"['MIBR', 'MIBR', 'INTZ', 'Luminosity', 'BOOM']",787,20340,1110,1.08,1.06
317,Gratisfaction,New Zealand,"['EXTREMUM', 'Grayhound', 'Renegades', '100 Thieves', '100 Thieves', 'Immunity']",882,22943,1687,1.12,1.06
318,refrezh,Denmark,"['Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic']",850,22613,1350,1.09,1.06
319,SLOWLY,China,"['TYLOO', 'EHOME']",454,12031,560,1.07,1.06
320,Rainwaker,Bulgaria,['SKADE'],836,22503,1435,1.1,1.05
321,Ace,India,"['Entity', 'XCN', '5orgless']",134,3350,198,1.09,1.05
322,crashies,United States,"['Riot Squad', 'Bad News Bears']",336,8723,459,1.08,1.05
323,imoRR,Turkey,"['Sangal', 'Royal Bandits']",389,10444,256,1.03,1.05
324,smooth_criminal22,Australia,"['madlikewizards', 'TRUCKERS WITH ATTITUDE', 'Athletico', 'Airborne']",290,7396,295,1.06,1.05
325,Zilkenberg,Mongolia,"['TheMongolz', 'AUGUST']",321,8172,464,1.09,1.05
326,KEi,Poland,"['AVEZ', 'Anonymo']",537,14445,535,1.05,1.05
327,Qikert,Kazakhstan,"['Virtus.pro', 'AVANGAR']",1145,30242,1969,1.1,1.05
328,tabseN,Germany,"['BIG', 'BIG', 'PENTA', 'PENTA', 'mousesports']",1775,46826,1523,1.05,1.05
329,lan,China,"['Wings Up', 'Wings Up', 'OneThree', 'IPET', 'BTRG']",261,6748,326,1.07,1.05
330,rallen,Poland,"['AGO', 'Kinguin']",1650,44052,2856,1.1,1.05
331,ISSAA,Jordan,"['HellRaisers', 'OG']",824,21606,1311,1.09,1.05
332,atter,Sweden,"['Torpedo', 'Renegades']",240,6228,244,1.06,1.05
333,SaVage,Australia,"['Dire Wolves', 'Downfall']",123,3057,242,1.13,1.05
334,remix,Brazil,"['Havan Liberty', 'Redemption POA', 'Avalanche']",271,7092,374,1.08,1.05
335,flaw,Australia,"['Jade', 'seadoggs', 'Eimi Fukada FC']",139,3488,137,1.06,1.05
336,Aerial,Finland,"['HAVU', 'ENCE']",854,22612,1179,1.08,1.05
337,EMUHLEET,United States,"['Dignitas fe', 'Karma']",175,4405,345,1.13,1.05
338,KRIMZ,Sweden,['fnatic'],1663,43731,2981,1.11,1.05
339,cajunb,Denmark,"['North', 'North', 'TSM', 'OpTic', 'Dignitas']",1685,44055,2857,1.1,1.05
340,REDSTAR,Bulgaria,"['Fiend', 'Bpro']",508,13423,908,1.11,1.05
341,kanii,South Africa,"['DNMK', 'Energy', 'Aperture']",179,4436,207,1.07,1.05
342,roeJ,Denmark,"['Copenhagen Flames', 'MAD Lions', 'Tricked']",647,17091,861,1.07,1.05
343,Marcelious,Norway,"['777', 'Apeks', 'Apeks', 'NOREG']",393,10692,551,1.08,1.05
344,nin9,Mongolia,"['Renewal', 'TIGER', 'Mazaalai']",314,8269,555,1.1,1.05
345,twist,Sweden,"['GODSENT', 'fnatic', 'NIP', 'NIP']",1512,39962,2035,1.08,1.05
346,bottle,China,"['Invictus', 'Invictus', 'Born Of Fire', 'Eclipse', '5POWER', 'CyberZen']",756,19492,848,1.06,1.05
347,penny,Canada,"['Triumph', 'Rugratz', 'Divine']",228,6019,225,1.05,1.05
348,mou,Kazakhstan,"['K23', 'K23', 'Gambit', 'HellRaisers', 'Syman']",1467,38924,2475,1.1,1.05
349,juanflatroo,Albania,"['BLINK', 'BLINK', 'Secret', 'm1x']",374,9963,299,1.04,1.05
350,Ramz1kBO$$,Kazakhstan,"['Tengri', 'Syman']",425,11070,553,1.07,1.05
351,lainNy,Latvia,"['Smoke Criminals', 'Endpoint', 'Endpoint']",107,2881,104,1.05,1.05
352,HZ,China,"['TYLOO', 'CyberZen', 'AllGamers']",500,12856,691,1.08,1.05
353,Westmelon,China,['Lynn Vision'],210,5497,189,1.05,1.05
354,Daveys,Colombia,"['Infinity', 'Infinity', 'Vault']",267,6672,411,1.09,1.05
355,KHTEX,Brazil,"['Paquetá', 'Wild', 'Virtue']",574,14745,967,1.1,1.05
356,Mr.six,China,"['New4', 'FIVE']",244,6220,200,1.04,1.05
357,Maden,Montenegro,"['FunPlus Phoenix', 'GODSENT', 'SMASH']",532,14174,491,1.05,1.05
358,DavCost,Russia,"['Spirit', 'Spirit', '1WIN']",1112,29193,1735,1.09,1.05
359,Gospadarov,Russia,"['NAVI Junior', 'Quantum Bellator Fire']",310,8323,550,1.11,1.05
360,flusha,Sweden,['fnatic'],1792,46987,2770,1.09,1.05
361,Temperature,United States,"['The Fundamentals', 'absolute mad lads', 'Just A Glimpse']",118,3034,109,1.05,1.05
362,Domsterr,South Africa,"['ATK', 'Energy', 'Denial', 'Aperture']",274,6833,439,1.1,1.05
363,Blastinho,Spain,"['k1ck', 'Cream', 'KIYF']",120,3197,169,1.08,1.05
364,JW,Sweden,['fnatic'],1879,49346,2349,1.07,1.05
365,motm,United States,"['ATK', 'Cloud9']",735,19337,870,1.07,1.05
366,Sys,Indonesia,"['Recca', 'nxl']",324,8237,435,1.08,1.05
367,yay,United States,"['Complexity', 'Complexity', 'Orgless']",653,17182,604,1.05,1.05
368,cadiaN,Denmark,"['Heroic', 'Heroic', 'Rogue', 'SK', 'North', 'North']",1340,35365,2389,1.11,1.05
369,3ARK00Z,Jordan,"['Triumph', 'Yalla', 'GGPR', 'GGPR', 'Chosen5']",169,4387,144,1.05,1.05
370,Swahn,United States,"['iNTACT', 'Bushido Boyz', 'Levitate', 'Chris and the boys', 'CENSRD']",250,6516,370,1.09,1.05
371,Annihilation,Mongolia,['D13'],184,4928,316,1.1,1.05
372,jtr,New Zealand,"['Dynasty', 'Incept', 'Jade', 'Rooster 2']",146,3784,164,1.06,1.05
373,SicK,United States,"['Rogue', 'Misfits', 'TSM']",795,20701,1040,1.07,1.05
374,NEEX,Poland,"['Izako Boars', 'ESC']",429,11195,574,1.08,1.05
375,zeph,Australia,"['ORDER', 'Chiefs', 'Ground Zero', 'AVANT']",516,13136,462,1.05,1.05
376,broky,Latvia,"['FaZe', 'Epsilon']",547,14550,1001,1.11,1.05
377,NyX,Croatia,"['Locastic', 'Squared', 'Croatia', 'GIANT5']",128,3273,71,1.03,1.05
378,malbsMd,Guatemala,"['TeamOne', 'Infinity', 'Infinity']",387,9879,203,1.03,1.05
379,VAATI,Peru,"['Jaguar', 'Denial']",126,3176,172,1.08,1.05
380,loWel,Spain,"['Movistar Riders', 'PENTA', 'PENTA', 'mousesports']",1008,26413,1739,1.1,1.05
381,Flarich,Latvia,"['HellRaisers', 'pro100']",1058,28161,1801,1.1,1.05
382,reiko,Poland,['HONORIS'],244,6452,110,1.02,1.05
383,Sobol,Poland,"['PACT', 'PACT']",617,16769,789,1.07,1.05
384,k1tkat,United Arab Emirates,"['NASR', 'Risky']",242,6302,202,1.05,1.05
385,kajsk1ng,Netherlands,"['LowLandLions', 'Playing Ducks', 'Netherlands', 'Defusekids']",153,3988,95,1.03,1.05
386,zemp,Australia,"['Ground Zero', 'TRIDENT']",178,4640,121,1.04,1.05
387,Zellsis,United States,"['Swole Patrol', 'Lazarus']",626,16210,803,1.07,1.05
388,kabal,Mongolia,"['5POWER', 'TheMongolz', 'TIGER']",714,18733,1037,1.08,1.05
389,BRUNO,Peru,"['Jaguar', 'Supremacy', 'Supremacy']",134,3325,44,1.02,1.05
390,SandeN,Denmark,"['SK', 'eFuture']",328,8560,355,1.06,1.05
391,jackhan,China,['New4'],275,7075,300,1.06,1.05
392,FiReMaNNN,Chile,"['Andes', 'Hafnet', 'Force of Nature', 'rEAK']",140,3703,120,1.05,1.05
393,christo,Argentina,"['Durany', 'ex-Durany']",142,3747,160,1.06,1.05
394,rommi,Russia,"['Spirit Academy', 'Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",516,13467,604,1.06,1.05
395,PANIX,Germany,"['ALTERNATE aTTaX', 'BIG Academy', 'BIG Academy']",197,5188,234,1.07,1.05
396,nqz,Brazil,"['DETONA', 'Alma', 'e-Galo']",117,3046,193,1.1,1.05
397,buster,Kazakhstan,"['Virtus.pro', 'AVANGAR']",1151,30386,2016,1.11,1.04
398,aumaN,China,['ViCi'],843,21616,1204,1.08,1.04
399,raafa,Brazil,['W7M'],605,15881,1010,1.1,1.04
400,STOMP,Poland,"['Izako Boars', 'x-kom', 'Illuminar', 'HONORIS']",771,20635,1317,1.1,1.04
